county,use_date,total_cases,deaths
Atkinson,2020-12-28,3,0
Atkinson,2020-12-29,6,0
Atkinson,2020-12-30,10,0
Atkinson,2020-12-31,8,0
Atkinson,2021-01-01,6,0
Atkinson,2021-01-02,5,0
Atkinson,2021-01-03,2,0
Atkinson,2021-01-04,12,0
Atkinson,2021-01-05,10,0
Atkinson,2021-01-06,4,0
Atkinson,2021-01-07,6,0
Atkinson,2021-01-08,15,0
Atkinson,2021-01-09,11,0
Atkinson,2021-01-10,3,0
Atkinson,2021-01-11,8,0
Atkinson,2021-01-12,8,0
Atkinson,2021-01-13,4,0
Atkinson,2021-01-14,8,1
Atkinson,2021-01-15,8,0
Atkinson,2021-01-16,5,0
Atkinson,2021-01-17,1,0
Atkinson,2021-01-18,3,1
Atkinson,2021-01-19,4,0
Atkinson,2021-01-20,4,0
Atkinson,2021-01-21,4,0
Atkinson,2021-01-22,6,0
Atkinson,2021-01-23,6,0
Atkinson,2021-01-24,2,0
Atkinson,2021-01-25,0,0
Atkinson,2021-01-26,1,1
Atkinson,2021-01-27,8,0
Atkinson,2021-01-28,3,0
Atkinson,2021-01-29,5,0
Atkinson,2021-01-30,4,0
Atkinson,2021-01-31,2,0
Atkinson,2021-02-01,2,0
Atkinson,2021-02-02,2,0
Atkinson,2021-02-03,2,1
Atkinson,2021-02-04,3,0
Atkinson,2021-02-05,0,0
Atkinson,2021-02-06,1,0
Atkinson,2021-02-07,3,0
Atkinson,2021-02-08,1,0
Atkinson,2021-02-09,1,0
Atkinson,2021-02-10,1,0
Atkinson,2021-02-11,1,0
Atkinson,2021-02-12,1,0
Atkinson,2021-02-13,1,0
Atkinson,2021-02-14,0,0
Atkinson,2021-02-15,0,0
Atkinson,2021-02-16,1,0
Atkinson,2021-02-17,2,1
Atkinson,2021-02-18,0,1
Atkinson,2021-02-19,5,0
Atkinson,2021-02-20,2,0
Atkinson,2021-02-21,2,0
Atkinson,2021-02-22,0,2
Atkinson,2021-02-23,1,0
Atkinson,2021-02-24,5,0
Atkinson,2021-02-25,1,0
Atkinson,2021-02-26,1,0
Atkinson,2021-02-27,0,0
Atkinson,2021-02-28,0,0
Atkinson,2021-03-01,0,0
Atkinson,2021-03-02,0,0
Atkinson,2021-03-03,3,0
Atkinson,2021-03-04,1,0
Atkinson,2021-03-05,2,0
Atkinson,2021-03-06,0,0
Atkinson,2021-03-07,0,0
Atkinson,2021-03-08,0,0
Atkinson,2021-03-09,1,0
Atkinson,2021-03-10,0,0
Atkinson,2021-03-11,0,0
Atkinson,2021-03-12,0,0
Atkinson,2021-03-13,0,0
Atkinson,2021-03-14,0,0
Atkinson,2021-03-15,0,0
Atkinson,2021-03-16,0,0
Atkinson,2021-03-17,1,0
Atkinson,2021-03-18,2,0
Atkinson,2021-03-19,1,0
Atkinson,2021-03-20,0,0
Atkinson,2021-03-21,1,0
Atkinson,2021-03-22,0,0
Atkinson,2021-03-23,1,0
Atkinson,2021-03-24,0,0
Atkinson,2021-03-25,1,0
Atkinson,2021-03-26,0,0
Atkinson,2021-03-27,4,0
Atkinson,2021-03-28,1,0
Atkinson,2021-03-29,0,0
Atkinson,2021-03-30,2,0
Atkinson,2021-03-31,0,0
Bacon,2020-09-01,11,0
Bacon,2020-09-02,5,0
Bacon,2020-09-03,2,0
Bacon,2020-09-04,5,1
Bacon,2020-09-05,2,0
Bacon,2020-09-06,2,0
Bacon,2020-09-07,1,0
Bacon,2020-09-08,6,0
Bacon,2020-09-09,9,0
Bacon,2020-09-10,0,0
Bacon,2020-09-11,10,0
Bacon,2020-09-12,8,0
Bacon,2020-09-13,1,0
Bacon,2020-09-14,0,0
Bacon,2020-09-15,4,0
Bacon,2020-09-16,7,0
Bacon,2020-09-17,3,0
Bacon,2020-09-18,1,0
Bacon,2020-09-19,4,0
Bacon,2020-09-20,2,0
Bacon,2020-09-21,0,0
Bacon,2020-09-22,1,1
Bacon,2020-09-23,4,2
Bacon,2020-09-24,2,0
Bacon,2020-09-25,0,0
Bacon,2020-09-26,1,0
Bacon,2020-09-27,1,0
Bacon,2020-09-28,1,0
Bacon,2020-09-29,2,0
Bacon,2020-09-30,0,0
Bacon,2020-10-01,2,0
Bacon,2020-10-02,1,0
Bacon,2020-10-03,3,0
Bacon,2020-10-04,0,0
Bacon,2020-10-05,1,0
Bacon,2020-10-06,3,0
Bacon,2020-10-07,0,0
Bacon,2020-10-08,0,0
Bacon,2020-10-09,0,0
Bacon,2020-10-10,2,1
Bacon,2020-10-11,0,0
Bacon,2020-10-12,9,0
Bacon,2020-10-13,2,0
